Czas Odczytu,Wartość
2025-01-02 14:28:54,22.0 °C
2025-01-02 14:28:54,22.0 °C
2025-01-02 14:28:55,22.0 °C
2025-01-02 14:28:55,22.0 °C
2025-01-02 14:28:55,22.0 °C
2025-01-02 14:28:56,22.0 °C
2025-01-02 14:28:56,22.0 °C
2025-01-02 14:28:57,22.0 °C
2025-01-02 14:28:57,22.0 °C
2025-01-02 14:28:58,22.0 °C
2025-01-02 14:28:58,22.0 °C
2025-01-02 14:28:59,22.0 °C
2025-01-02 14:28:59,22.0 °C
2025-01-02 14:29:00,22.0 °C
2025-01-02 14:29:00,22.0 °C
2025-01-02 14:29:01,22.0 °C
2025-01-02 14:29:01,22.0 °C
2025-01-02 14:29:01,22.0 °C
2025-01-02 14:29:02,22.0 °C
2025-01-02 14:29:02,22.0 °C
2025-01-02 14:29:03,22.0 °C
2025-01-02 14:29:03,22.0 °C
2025-01-02 14:29:04,22.0 °C
2025-01-02 14:29:04,22.0 °C
2025-01-02 14:29:05,22.0 °C
2025-01-02 14:29:05,22.0 °C
2025-01-02 14:29:06,22.0 °C
2025-01-02 14:29:06,22.0 °C
2025-01-02 14:29:07,22.0 °C
2025-01-02 14:29:07,22.0 °C
2025-01-02 14:29:08,22.0 °C
2025-01-02 14:29:08,22.0 °C
2025-01-02 14:29:08,22.0 °C
2025-01-02 14:29:09,22.0 °C
2025-01-02 14:29:09,22.0 °C
2025-01-02 14:29:10,22.0 °C
2025-01-02 14:29:10,22.0 °C
2025-01-02 14:29:11,22.0 °C
2025-01-02 14:29:11,22.0 °C
2025-01-02 14:29:12,22.0 °C
2025-01-02 14:29:12,22.0 °C
2025-01-02 14:29:13,22.0 °C
2025-01-02 14:29:13,22.0 °C
2025-01-02 14:29:14,22.0 °C
2025-01-02 14:29:14,22.0 °C
2025-01-02 14:29:15,22.0 °C
2025-01-02 14:29:15,22.0 °C
2025-01-02 14:29:15,22.0 °C
2025-01-02 14:29:16,22.0 °C
2025-01-02 14:29:16,22.0 °C
2025-01-02 14:29:17,22.0 °C
